Beam Number,b_web_mm,H_web_mm,Str/w N/g,Strength N,weight g,Column 1,Column 2,Column 3
1,4.632,21.681,21.45090909,884.85,41.25,flange failed?,,
2,2.832,18.694,25.56722789,1078.17,42.17,web shear,,
3,6.778,17.522,29.95324074,1940.97,64.8,symmetic yield,,
4,2.306,15.863,30.09799599,1501.89,49.9,explode,,
5,7.342,19.837,28.65558961,1776.36,61.99,flange broke + tip,stand heavily bent after this one...?,
6,4.284,12.067,31.2679701,2175,69.56,symmetric yield,,
7,1.791,16.746,23.27450091,1025.94,44.08,web exploded from both flanges,,
8,5.991,13.625,29.45232722,2088.17,70.9,,,
9,5.343,21.108,25.7479097,1231.78,47.84,flange broke,,
10,3.434,14.171,29.62716378,1780,60.08,web sheared off,,
11,7.558,15.342,29.32198523,2144.61,73.14,yield symmetric,,
12,1.017,22.181,9.782022472,174.12,17.8,web snapped,,
13,1.13,12.08,19.41360636,1147.15,59.09,web sheared off,,
14,7.97,22.99,27.37116041,1603.95,58.6,flanges broke,,
15,4.6,17.2,31.90346715,1748.31,54.8,yield/tip,,
16,7.71,12.25,29.17587568,2365.58,81.08,yield,,
DHR,4.674,15.831,30.54481839,1833.3,60.02,sideways-ish yield,,
BH,3.813,16.258,30.77090513,1696.4,55.13,web sheared off 1 flange.  bent remains,,
UCB 3 param,3.066,15.68,30.43550207,1618.56,53.18,exploded,,
17,4.5,14.5,32.03597464,2021.47,63.1,web shear + bend,,
18,4.3,16.2,31.09779951,1780.66,57.26,web shear + explode,,
19,3.5,17,30.93227638,1580.33,51.09,web sheared off,,
EI 3 param repeat,5.54,17.028,31.46608206,1901.81,60.44,explosion,,
21,5,16,30.57471264,1862,60.9,yield/tip,,
22,4.5,17.7,29.66641623,1579.44,53.24,web sheared off,,
23,4,15.7,31.84679812,1825.14,57.31,yield/tip/eventual web sheared off,,
24,4.5,14.5,32.27740811,2037.35,63.12,yield/tip/eventual web sheared off,,
25,4.25,15,32.03375527,1973.92,61.62,symmetric yield,print seam from stopped print on bottom flange.,
26,4.5,13.5,31.31720669,2116.73,67.59,symmetric yield,print seam from stopped print on bottom flange.,
27,3.9,14.5,31.47606643,1933.26,61.42,exploded,print seam from stopped print on bottom flange.,
