source,b_mm,H_web_mm,strength_N,mass_model_g,sw_N_per_g,weight_g,stiff_N_mm,d_at_peak_mm,tag,proper_supports,censored,session,print_order,rep,slot,printer,pred_mode,obs_mode,failure_note,source_file
campaign,1.25,5.0,641.1,27.86,23.009,28.1,,,,False,False,,1.0,,,,shear,LTB,,
campaign,7.0,5.0,911.9,33.74,27.025,33.6,,,,False,False,,2.0,,,,bend,bend,,
campaign,1.25,16.0,226.2,8.18,27.653,8.3,,,,False,False,,3.0,,,,LTB,flange_web_sep,,
campaign,7.0,16.0,829.4,26.99,30.725,27.4,,,,False,False,,4.0,,,,bend,bend,,
campaign,3.8,9.9,858.9,24.26,35.407,24.3,,,,False,False,,5.0,,,,bend,bend,,
campaign,7.0,10.5,948.8,30.37,31.243,30.1,,,,False,False,,6.0,,,,bend,bend,,
campaign,4.1,16.0,534.1,17.51,30.511,17.6,,,,False,False,,7.0,,,,bend,bend,,
campaign,4.1,5.0,1008.5,30.78,32.768,31.0,,,,False,False,,8.0,,,,bend,bend,,
campaign,1.25,10.5,701.0,18.02,38.898,17.8,,,,False,False,,9.0,,,,bend,flange_web_sep,,
campaign,5.55,6.7,855.9,30.71,27.868,31.1,,,,False,False,,10.0,,,,bend,bend,,
campaign,5.35,11.2,738.4,26.16,28.227,25.8,,,,False,False,,11.0,,,,bend,bend,,
campaign,2.5,14.0,533.5,15.34,34.784,15.5,,,,False,False,,12.0,,,,bend,bend,,
campaign,3.9,13.0,733.0,20.59,35.594,20.6,,,,False,False,,13.0,,,,bend,bend,,
campaign,1.9,8.2,839.5,23.23,36.143,23.3,,,,False,False,,14.0,,,,bend,bend,,
campaign,2.85,6.0,905.2,28.04,32.286,27.8,,,,False,False,,15.0,,,,bend,bend,,
campaign,5.9,14.7,771.9,24.48,31.526,24.7,,,,False,False,,16.0,,,,bend,bend,,
campaign,4.4,7.8,911.2,27.88,32.686,27.8,,,,False,False,,17.0,,,,bend,bend,,
campaign,1.3,12.8,548.6,14.04,39.083,14.0,,,,False,False,,18.0,,,,bend,bend,,
campaign,6.7,7.1,1024.2,32.02,31.988,32.2,,,,False,False,,19.0,,,,bend,bend,,
campaign,4.85,14.4,724.1,21.64,33.455,21.7,,,,False,False,,20.0,,,,bend,bend,,
campaign,5.7,8.7,981.9,29.16,33.673,29.1,,,,False,False,,21.0,,,,bend,bend,,
campaign,3.05,11.9,765.0,19.9,38.448,20.1,,,,False,False,,22.0,,,,bend,bend,,
campaign,2.7,9.4,833.7,22.78,36.602,22.6,,,,False,False,,23.0,,,,bend,bend,,
campaign,6.15,12.4,865.1,27.05,31.985,26.7,,,,False,False,,24.0,,,,bend,bend,,
campaign,3.25,15.1,588.8,15.97,36.878,16.2,,,,False,False,,25.0,,,,bend,bend,,
campaign,1.95,11.6,697.1,17.71,39.354,17.8,,,,False,False,,26.0,,,,bend,bend,,
campaign,3.55,7.5,937.4,26.92,34.825,26.8,,,,False,False,,27.0,,,,bend,bend,,
campaign,5.05,9.7,915.5,26.99,33.919,26.6,,,,False,False,,28.0,,,,bend,bend,,
campaign,6.55,13.8,847.5,27.07,31.303,26.8,,,,False,False,,29.0,,,,bend,bend,,
campaign,2.15,6.9,865.2,25.73,33.622,25.5,,,,False,False,,30.0,,,,bend,flange_web_sep,,
campaign,4.6,13.1,759.0,22.34,33.969,22.3,,,,False,False,,31.0,,,,bend,bend,,
