print_order,d_mm,F_N
1,0.0,0.0
1,0.0287,1.7
1,0.0685,5.5
1,0.1095,10.1
1,0.1497,15.1
1,0.1901,20.2
1,0.2297,25.2
1,0.27,30.5
1,0.3106,36.0
1,0.3509,41.4
1,0.3907,46.9
1,0.43,52.2
1,0.4715,57.9
1,0.5115,63.4
1,0.5512,68.9
1,0.5908,74.3
1,0.6323,80.1
1,0.6716,85.5
1,0.7123,91.1
1,0.7525,96.7
1,0.7924,102.2
1,0.8324,107.7
1,0.8727,113.3
1,0.9132,118.8
1,0.9524,124.2
1,0.9936,129.9
1,1.0332,135.4
1,1.074,141.0
1,1.1135,146.4
1,1.1538,152.0
1,1.1936,157.5
1,1.2349,163.2
1,1.2744,168.7
1,1.3142,174.2
1,1.3546,179.8
1,1.3957,185.6
1,1.4352,191.0
1,1.4745,196.4
1,1.5165,202.2
1,1.5559,207.7
1,1.5962,213.3
1,1.6359,218.7
1,1.6766,224.3
1,1.7165,229.8
1,1.7569,235.3
1,1.7966,240.8
1,1.8366,246.3
1,1.8774,251.9
1,1.9173,257.3
1,1.9572,262.7
1,1.9974,268.2
1,2.0382,273.7
1,2.0776,279.0
1,2.1179,284.5
1,2.1582,290.0
1,2.1982,295.4
1,2.2382,300.8
1,2.2794,306.3
1,2.3191,311.6
1,2.3585,316.8
1,2.3995,322.3
1,2.4398,327.7
1,2.4802,333.0
1,2.5198,338.2
1,2.5602,343.6
1,2.6005,349.0
1,2.641,354.4
1,2.6807,359.6
1,2.7202,364.8
1,2.7612,370.2
1,2.8018,375.5
1,2.8412,380.7
1,2.8806,385.8
1,2.9224,391.3
1,2.9618,396.5
1,3.0022,401.8
1,3.0424,407.0
1,3.0826,412.1
1,3.1224,417.2
1,3.1625,422.3
1,3.2032,427.6
1,3.2425,432.7
1,3.2835,438.0
1,3.3234,443.2
1,3.3637,448.3
1,3.4035,453.3
1,3.4442,458.4
1,3.4836,463.3
1,3.525,468.6
1,3.5646,473.5
1,3.6046,478.4
1,3.6443,483.3
1,3.6855,488.4
1,3.7253,493.3
1,3.7644,498.1
1,3.8065,503.3
1,3.846,508.1
1,3.8861,513.0
1,3.9256,517.8
1,3.9667,522.8
1,4.0062,527.5
1,4.0469,532.5
1,4.0867,537.2
1,4.1269,541.9
1,4.1672,546.7
1,4.2074,551.5
1,4.247,556.1
1,4.2871,560.8
1,4.3283,565.5
1,4.3677,570.0
1,4.4079,574.5
1,4.4483,579.0
1,4.4884,583.6
1,4.5283,588.1
1,4.5693,592.7
1,4.6093,597.1
1,4.6486,601.3
1,4.6895,605.7
1,4.73,609.9
1,4.7699,614.0
1,4.8096,617.8
1,4.8505,621.7
1,4.8904,625.3
1,4.9308,629.0
1,4.9707,632.3
1,5.0106,635.5
1,5.0509,638.3
1,5.0916,640.5
1,5.1315,640.9
1,5.1619,157.0
2,0.0,0.2
2,0.0577,6.5
2,0.123,14.1
2,0.1878,22.3
2,0.2525,31.6
2,0.3167,41.1
2,0.3815,50.9
2,0.4469,60.8
2,0.5107,70.6
2,0.5756,80.6
2,0.6403,90.5
2,0.7048,100.4
2,0.7688,110.3
2,0.8339,120.4
2,0.8981,130.3
2,0.9633,140.5
2,1.0277,150.5
2,1.0923,160.6
2,1.1567,170.7
2,1.2216,180.7
