param,kernel,ls_bounds,acquisition,kappa,noise,b_rec,H_rec,pred_strw,gt_strw,gt_sig,dist_to_strong,in_strong_zone,gt_above_30,length_scales
b_H,matern,adaptive,ei,,2.818553756278192e-05,4.869,15.014,34.09,31.46,0.0338,0.0704,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,adaptive,ei,,0.0001,4.882,15.104,34.03,31.3,0.0341,0.0724,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,adaptive,ei,,0.0003,4.873,15.015,33.85,31.45,0.034,0.0709,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,adaptive,ei,,0.001,3.752,16.31,32.44,30.75,0.0063,0.0099,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,adaptive,ei,,0.003,4.302,15.74,32.61,31.37,0.0063,0.0418,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,adaptive,ucb,1.0,2.818553756278192e-05,4.973,14.976,34.0,31.29,0.0378,0.0802,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,adaptive,ucb,1.0,0.0001,4.996,15.006,33.91,31.2,0.0388,0.0845,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,adaptive,ucb,1.0,0.0003,4.976,14.832,33.74,31.46,0.0361,0.0744,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,adaptive,ucb,1.0,0.001,3.757,16.239,32.44,30.74,0.0059,0.0082,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,adaptive,ucb,1.0,0.003,4.364,15.625,32.6,31.47,0.0091,0.0481,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,adaptive,ucb,2.0,2.818553756278192e-05,5.049,14.866,33.84,31.27,0.0402,0.0852,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,adaptive,ucb,2.0,0.0001,5.05,14.688,33.73,31.41,0.037,0.0804,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,adaptive,ucb,2.0,0.0003,5.009,14.576,33.61,31.54,0.0321,0.073,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,adaptive,ucb,2.0,0.001,3.851,16.172,32.44,30.87,0.0055,0.0095,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,adaptive,ucb,2.0,0.003,4.382,15.738,32.6,31.24,0.0066,0.0425,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,adaptive,ucb,3.0,2.818553756278192e-05,2.6,12.019,30.69,23.92,0.1094,0.2405,False,False,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,adaptive,ucb,3.0,0.0001,2.572,12.034,30.57,23.78,0.1089,0.2446,False,False,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,adaptive,ucb,3.0,0.0003,2.551,12.1,30.25,23.68,0.1075,0.2476,False,False,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,adaptive,ucb,3.0,0.001,3.756,16.27,32.44,30.74,0.0059,0.0082,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,adaptive,ucb,3.0,0.003,4.546,15.672,32.54,31.01,0.0087,0.0233,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,tight,ei,,2.818553756278192e-05,4.845,15.068,34.1,31.43,0.033,0.0713,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,tight,ei,,0.0001,4.923,15.041,34.0,31.31,0.0359,0.0779,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,tight,ei,,0.0003,4.891,15.045,33.85,31.37,0.0347,0.0746,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,tight,ei,,0.001,3.793,16.326,32.45,30.82,0.0061,0.0068,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,tight,ei,,0.003,4.308,15.762,32.61,31.32,0.0062,0.0398,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,tight,ucb,1.0,2.818553756278192e-05,4.919,14.809,34.03,31.6,0.0329,0.0662,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,tight,ucb,1.0,0.0001,4.975,14.944,33.93,31.33,0.0376,0.0789,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,tight,ucb,1.0,0.0003,4.973,14.95,33.77,31.33,0.0376,0.079,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,tight,ucb,1.0,0.001,3.808,16.288,32.45,30.82,0.0055,0.0029,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,tight,ucb,1.0,0.003,4.358,15.708,32.6,31.33,0.007,0.0455,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,tight,ucb,2.0,2.818553756278192e-05,5.015,14.604,33.83,31.52,0.0331,0.0741,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,tight,ucb,2.0,0.0001,5.023,14.724,33.8,31.45,0.0363,0.0775,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,tight,ucb,2.0,0.0003,5.058,15.03,33.64,31.04,0.0414,0.0885,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,tight,ucb,2.0,0.001,3.768,16.231,32.44,30.76,0.0058,0.0069,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,tight,ucb,2.0,0.003,4.431,15.746,32.59,31.13,0.0065,0.0356,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,tight,ucb,3.0,2.818553756278192e-05,2.591,12.061,30.72,23.87,0.1085,0.2419,False,False,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,tight,ucb,3.0,0.0001,2.607,12.018,30.57,23.95,0.1095,0.2396,False,False,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,tight,ucb,3.0,0.0003,2.671,12.012,30.2,24.24,0.1098,0.2305,False,False,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,tight,ucb,3.0,0.001,3.826,16.25,32.45,30.83,0.0051,0.0021,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,tight,ucb,3.0,0.003,4.516,15.629,32.55,31.14,0.01,0.0291,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,loose,ei,,2.818553756278192e-05,4.884,14.935,34.08,31.54,0.0337,0.0676,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,loose,ei,,0.0001,4.857,14.991,34.03,31.52,0.0333,0.0678,True,True,"[np.float64(0.326), np.float64(0.99)]"
