subset,param,kernel,acquisition,kappa,noise,n_train,b_lo_bo,b_rec,H_rec,pred_strw,gt_strw,gt_var,dist_to_strong,in_strong_zone,length_scales
n13_all,b_H,matern,ei,,0.0001,13,1.0,2.57,12.026,34.79,25.42,0.016644,0.2612,False,"[0.451, 3.0]"
n13_all,b_dH_R,matern,ei,,0.0001,13,1.0,2.731,12.04,36.01,26.24,0.015235,0.2491,False,"[0.389, 3.0, 1.661]"
n13_all,Pltb_Pbend,matern,ei,,0.0001,13,1.0,1.044,15.883,32.05,26.19,0.068717,0.3727,False,"[0.15, 1.3]"
n13_all,b_Pltb_Pbend,matern,ei,,0.0001,13,1.0,7.993,13.859,32.34,29.49,0.006462,0.5024,False,"[3.0, 0.15, 1.106]"
n13_all,b_dH_Pltb_Pbend,matern,ei,,0.0001,13,1.0,3.737,12.02,30.73,30.37,0.002299,0.2155,False,"[0.562, 3.0, 0.715, 0.496]"
n13_train_b_ge2_bo_b_ge2,b_H,matern,ei,,0.0001,10,2.0,2.375,12.069,30.21,24.36,0.01745,0.2733,False,"[0.362, 0.671]"
n13_train_b_ge2_bo_b_ge2,b_dH_R,matern,ei,,0.0001,10,2.0,2.07,22.907,28.6,22.33,0.14128,0.6323,False,"[3.0, 1.329, 0.15]"
n13_train_b_ge2_bo_b_ge2,Pltb_Pbend,matern,ei,,0.0001,10,2.0,2.045,12.522,31.36,22.37,0.023661,0.2749,False,"[0.189, 0.56]"
n13_train_b_ge2_bo_b_ge2,b_Pltb_Pbend,matern,ei,,0.0001,10,2.0,2.041,12.443,31.25,22.4,0.021782,0.28,False,"[3.0, 0.19, 0.533]"
n13_train_b_ge2_bo_b_ge2,b_dH_Pltb_Pbend,matern,ei,,0.0001,10,2.0,2.042,12.507,31.3,22.37,0.023299,0.2761,False,"[3.0, 3.0, 0.193, 0.541]"
