dataset,param,kernel,seed,noise,b_rec,H_rec,pred_strw,gt_strw,gt_var,dist_to_strong,in_strong_zone,length_scales
n13_all,b_H,matern,0,0.0001,2.57,12.026,34.79,25.42,0.016644,0.2612,False,"[0.451, 3.0]"
n13_all,b_H,matern,1,0.0001,2.568,12.073,34.73,25.36,0.016752,0.2577,False,"[0.451, 3.0]"
n13_all,b_H,matern,2,0.0001,2.567,12.075,34.72,25.36,0.016763,0.2576,False,"[0.451, 3.0]"
n13_all,b_H,matern,3,0.0001,2.497,12.014,34.76,25.05,0.017028,0.2675,False,"[0.451, 3.0]"
n13_all,b_H,matern,4,0.0001,2.555,12.0,34.82,25.36,0.016734,0.2643,False,"[0.451, 3.0]"
n13_all,b_dH_R,matern,0,0.0001,2.57,12.026,36.17,25.42,0.016644,0.2612,False,"[0.389, 3.0, 1.661]"
n13_all,b_dH_R,matern,1,0.0001,2.667,12.028,36.13,25.92,0.015875,0.2542,False,"[0.389, 3.0, 1.661]"
n13_all,b_dH_R,matern,2,0.0001,2.567,12.075,36.09,25.36,0.016763,0.2576,False,"[0.389, 3.0, 1.661]"
n13_all,b_dH_R,matern,3,0.0001,2.497,12.014,36.13,25.05,0.017028,0.2675,False,"[0.389, 3.0, 1.661]"
n13_all,b_dH_R,matern,4,0.0001,2.555,12.0,36.21,25.36,0.016734,0.2643,False,"[0.389, 3.0, 1.661]"
n13_all,Pltb_Pbend,matern,0,0.0001,1.128,15.817,32.05,26.66,0.061786,0.3594,False,"[0.15, 1.3]"
n13_all,Pltb_Pbend,matern,1,0.0001,1.004,15.953,32.0,25.83,0.071273,0.3802,False,"[0.15, 1.3]"
n13_all,Pltb_Pbend,matern,2,0.0001,1.015,15.924,32.03,25.97,0.070735,0.3778,False,"[0.15, 1.3]"
n13_all,Pltb_Pbend,matern,3,0.0001,1.008,15.936,32.02,25.9,0.071281,0.3792,False,"[0.15, 1.3]"
n13_all,Pltb_Pbend,matern,4,0.0001,1.01,15.952,31.99,25.84,0.070685,0.3794,False,"[0.15, 1.3]"
n13_all,b_Pltb_Pbend,matern,0,0.0001,7.927,13.838,32.34,29.52,0.006486,0.4932,False,"[3.0, 0.15, 1.106]"
n13_all,b_Pltb_Pbend,matern,1,0.0001,7.965,13.776,32.34,29.5,0.006335,0.4994,False,"[3.0, 0.15, 1.106]"
n13_all,b_Pltb_Pbend,matern,2,0.0001,7.933,13.824,32.34,29.52,0.006464,0.4943,False,"[3.0, 0.15, 1.106]"
n13_all,b_Pltb_Pbend,matern,3,0.0001,7.999,13.894,32.34,29.5,0.006516,0.5029,False,"[3.0, 0.15, 1.106]"
n13_all,b_Pltb_Pbend,matern,4,0.0001,7.915,13.833,32.33,29.52,0.006483,0.4917,False,"[3.0, 0.15, 1.106]"
n13_all,b_dH_Pltb_Pbend,matern,0,0.0001,4.45,13.808,30.24,31.98,0.000225,0.0493,True,"[0.562, 3.0, 0.715, 0.496]"
n13_all,b_dH_Pltb_Pbend,matern,1,0.0001,4.548,13.771,30.21,32.0,0.00024,0.0609,True,"[0.562, 3.0, 0.715, 0.496]"
n13_all,b_dH_Pltb_Pbend,matern,2,0.0001,3.697,12.027,30.64,30.25,0.002651,0.217,False,"[0.562, 3.0, 0.715, 0.496]"
n13_all,b_dH_Pltb_Pbend,matern,3,0.0001,4.552,13.782,30.2,32.03,0.000252,0.0606,True,"[0.562, 3.0, 0.715, 0.496]"
n13_all,b_dH_Pltb_Pbend,matern,4,0.0001,4.549,13.795,30.19,32.05,0.00026,0.0595,True,"[0.562, 3.0, 0.715, 0.496]"
n13_all,b_H,rbf,0,0.0001,4.518,16.613,32.09,31.74,8.6e-05,0.0546,True,"[0.514, 0.507]"
n13_all,b_H,rbf,1,0.0001,4.554,16.734,32.09,31.93,8.9e-05,0.0428,True,"[0.514, 0.507]"
n13_all,b_H,rbf,2,0.0001,4.447,16.653,32.1,31.72,8.2e-05,0.0543,True,"[0.514, 0.507]"
n13_all,b_H,rbf,3,0.0001,4.481,16.603,32.1,31.7,7.9e-05,0.0569,True,"[0.514, 0.507]"
n13_all,b_H,rbf,4,0.0001,4.496,16.63,32.1,31.75,8.2e-05,0.0539,True,"[0.514, 0.507]"
n13_all,b_dH_R,rbf,0,0.0001,3.14,12.063,30.3,28.18,0.009699,0.2274,False,"[0.213, 3.0, 0.293]"
n13_all,b_dH_R,rbf,1,0.0001,3.385,12.014,31.09,29.24,0.006252,0.2266,False,"[0.213, 3.0, 0.293]"
n13_all,b_dH_R,rbf,2,0.0001,3.26,12.03,30.72,28.73,0.007973,0.2272,False,"[0.213, 3.0, 0.293]"
n13_all,b_dH_R,rbf,3,0.0001,3.351,12.032,31.0,29.09,0.006688,0.2254,False,"[0.213, 3.0, 0.293]"
n13_all,b_dH_R,rbf,4,0.0001,3.26,12.01,30.73,28.75,0.008007,0.229,False,"[0.213, 3.0, 0.293]"
n13_all,Pltb_Pbend,rbf,0,0.0001,4.239,16.44,32.42,31.31,7.6e-05,0.0754,True,"[0.15, 0.198]"
n13_all,Pltb_Pbend,rbf,1,0.0001,4.28,16.469,32.44,31.37,7.6e-05,0.0805,True,"[0.15, 0.198]"
n13_all,Pltb_Pbend,rbf,2,0.0001,4.342,16.461,32.51,31.42,6.3e-05,0.0766,True,"[0.15, 0.198]"
n13_all,Pltb_Pbend,rbf,3,0.0001,4.352,16.49,32.49,31.46,6.8e-05,0.0736,True,"[0.15, 0.198]"
n13_all,Pltb_Pbend,rbf,4,0.0001,4.378,16.499,32.51,31.49,6.7e-05,0.0712,True,"[0.15, 0.198]"
n13_all,b_Pltb_Pbend,rbf,0,0.0001,3.471,12.093,30.98,29.47,0.005112,0.2189,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,1,0.0001,3.385,12.014,30.76,29.24,0.006252,0.2266,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,2,0.0001,3.26,12.03,30.33,28.73,0.007973,0.2272,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,3,0.0001,3.351,12.032,30.65,29.09,0.006688,0.2254,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,4,0.0001,3.26,12.01,30.33,28.75,0.008007,0.229,False,"[0.208, 0.351, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,0,0.0001,3.389,12.11,30.7,29.15,0.006205,0.2179,False,"[0.21, 3.0, 0.357, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,1,0.0001,3.385,12.014,30.71,29.24,0.006252,0.2266,False,"[0.21, 3.0, 0.357, 3.0]"
